a	ə
abdollah	ˌæbˈdɑːlə
abdomen	æbˈdoʊmən
abdominal	æbˈdɑːmənəl
abduct	æbˈdʌkt
abducted	æbˈdʌktɪd
abductee	æbˌdʌkˈtiː
abductees	æbˌdʌkˈtiːz
abducting	æbˈdʌktɪŋ
abduction	æbˈdʌkʃən
abductions	æbˈdʌkʃənz
abductor	æbˈdʌktər
abductors	æbˈdʌktərz
abducts	æbˈdʌkts
abdul	æbˈduːl
abdulaziz	æbˌduːləˈziːz
abdulla	ɑːbˈduːlə
abdullah	ˌæbˈdʌlə
abe	eɪb
abed	əˈbed
abedi	əˈbediː
abee	əˈbiː
abel	ˈeɪbəl
abela	ɑːˈbelə
abelard	ˈæbɪlərd
abele	əˈbel
abeles	əˈbelz
abell	ˈeɪbəl
abella	əˈbelə
abeln	ˈæbɪln
abelow	ˈæbəloʊ
abels	ˈeɪbəlz
abelson	ˈæbɪlsən
abend	ˈæbend
abendroth	ˈæbɪndrɔːθ
aber	ˈeɪbər
abercrombie	ˌæbərˈkrɑːmbiː
aberdeen	ˈæbərˌdiːn
aberford	ˈeɪbərfərd
aberg	ˈæbərɡ
aberle	ˈæbərəl
abermin	ˈæbərmɪn
abernathy	ˈæbərˌnæθiː
abernethy	ˈæbərˌneθiː
aberrant	æˈberənt
aberration	ˌæbəˈreɪʃən
aberrational	ˌæbəˈreɪʃənəl
aberrations	ˌæbəˈreɪʃənz
abert	ˈæbərt
abet	əˈbet
abetted	əˈbetɪd
abetting	əˈbetɪŋ
abex	ˈeɪbeks
abeyance	əˈbeɪəns
abeyta	ɑːˈbeɪtə
abhor	æbˈhɔːr
abhorred	əbˈhɔːrd
abhorrence	əbˈhɔːrəns
abhorrent	æbˈhɔːrənt
abhors	əbˈhɔːrz
abiam	ˈeɪbiːəm
abiam's	ˈeɪbiːəmz
abid	ˈeɪbɪd
abide	əˈbaɪd
abided	əˈbaɪdɪd
abides	əˈbaɪdz
abiding	əˈbaɪdɪŋ
abidjan	æbɪˈdʒɑːn
abie	ˈæbiː
abigail	ˈæbəˌɡeɪl
abila	ɑːˈbiːlə
abilene	ˈæbɪˌliːn
abilities	əˈbɪləˌtiːz
ability	əˈbɪləˌtiː
abimael	ˌæbɪˈmeɪl
abimaels	ˌæbɪˈmeɪlz
abingdon	ˈæbɪŋdən
abington	ˈæbɪŋtən
abio	ˈɑːbiːoʊ
abiola	ˌɑːbiːˈoʊlə
abiola's	ˌɑːbiːˈoʊləz
abiomed	eɪˈbiːəmed
abiquiu	əˈbɪkjuː
abitibi	ˌæbɪˈtiːbiː
abitz	ˈæbɪts
abject	ˈæbdʒekt
abkhazia	æbˈkɑːzjə
abkhazian	æbˈkɑːziːən
abkhazians	æbˈkɑːziːənz
ablate	ˌʌˈbleɪt
ablation	ˌʌˈbleɪʃən
ablaze	əˈbleɪz
able	ˈeɪbəl
able-bodied	ˌeɪbəlˈbɑːdiːd
abled	ˈeɪbəld
abler	ˈeɪbələr
ables	ˈeɪbəlz
ablest	ˈeɪbəlst
abloom	əˈbluːm
ablution	əˈbluːʃən
ablutions	əˈbluːʃənz
ably	ˈeɪbliː
abnegation	ˌæbneˈɡeɪʃən
abner	ˈæbnər
abney	ˈæbniː
abnormal	æbˈnɔːrməl
abnormalities	ˌæbnɔːrˈmælətiːz
abnormality	ˌæbnɔːrˈmælətiː
abnormally	æbˈnɔːrməliː
abo	ˈɑːboʊ
abo's	ˈɑːboʊz
aboard	əˈbɔːrd
abode	əˈboʊd
abohalima	æbəhəˈliːmə
abolish	əˈbɑːlɪʃ
abolished	əˈbɑːlɪʃt
abolishes	əˈbɑːlɪʃɪz
abolishing	əˈbɑːlɪʃɪŋ
abolition	ˌæbəˈlɪʃən
abolitionism	ˌæbəˈlɪʃəˌnɪzəm
abolitionist	ˌæbəˈlɪʃənəst
abolitionists	ˌæbəˈlɪʃənəsts
abominable	əˈbɑːmənəbəl
abomination	əˌbɑːməˈneɪʃən
abominations	əˌbɑːməˈneɪʃənz
abood	əˈbuːd
aboodi	əˈbuːdiː
abor	əˈbɔːr
aboriginal	ˌæbəˈrɪdʒənəl
aborigine	ˌæbəˈrɪdʒəniː
aborigines	ˌæbəˈrɪdʒəniːz
aborn	əˈbɔːrn
abort	əˈbɔːrt
aborted	əˈbɔːrtɪd
abortifacient	əˌbɔːrtəˈfeɪʃənt
abortifacients	əˌbɔːrtəˈfeɪʃənts
aborting	əˈbɔːrtɪŋ
abortion	əˈbɔːrʃən
abortionist	əˈbɔːrʃənɪst
abortionists	əˈbɔːrʃənɪsts
abortions	əˈbɔːrʃənz
abortive	əˈbɔːrtɪv
aborts	əˈbɔːrts
abott	əˈbɑːt
abou	əˈbuː
aboud	ɑːˈbuːd
abouhalima	ˌɑːbuːhɑːˈliːmə
abouhalima's	ˌɑːbuːhɑːˈliːməz
abound	əˈbaʊnd
abounded	əˈbaʊndɪd
abounding	əˈbaʊndɪŋ
abounds	əˈbaʊndz
about	əˈbaʊt
about's	əˈbaʊts
above	əˈbʌv
above's	əˈbʌvz
aboveboard	əˈbʌvˌbɔːrd
abplanalp	ˈæbplənælp
abra	ˈɑːbrə
abracadabra	ˌæbrəkəˈdæbrə
abrade	æˈbreɪd
abraded	æˈbreɪdɪd
abrades	æˈbreɪdz
abraham	ˈeɪbrəˌhæm
abrahamian	ˌæbrəˈheɪmiːən
abrahams	ˈeɪbrəˌhæmz
abrahamsen	æbrəˈhæmsən
abrahamson	əˈbræhəmsən
abram	əˈbræm
abram's	ˈeɪbrəmz
abramczyk	ˈɑːbrəmtʃɪk
abramo	ɑːˈbrɑːmoʊ
abramovitz	əˈbrɑːməvɪts
abramowicz	əˈbrɑːməvɪtʃ
abramowitz	əˈbrɑːməwɪts
abrams	ˈeɪbrəmz
abrams's	ˈeɪbrəmzɪz
abramson	ˈeɪbrəmsən
abrasion	əˈbreɪʒən
abrasions	əˈbreɪʒənz
abrasive	əˈbreɪsɪv
abrasives	əˈbreɪsɪvz
abraxa	əˈbræksə
abraxa's	əˈbræksəz
abraxas	əˈbræksəz
abreast	əˈbrest
abrego	ɑːˈbreɡoʊ
abreu	əˈbruː
abridge	əˈbrɪdʒ
abridged	əˈbrɪdʒd
abridgement	əˈbrɪdʒmənt
abridges	əˈbrɪdʒəz
abridging	əˈbrɪdʒɪŋ
abril	əˈbrɪl
abroad	əˈbrɔːd
abrogate	ˈæbrəˌɡeɪt
abrogated	ˈæbrəˌɡeɪtɪd
abrogating	ˈæbrəˌɡeɪtɪŋ
abrogation	ˌæbrəˈɡeɪʃən
abrol	əˈbroʊl
abron	əˈbrɑːn
abrupt	əˈbrʌpt
abruptly	əˈbrʌptliː
abruptness	əˈbrʌptnəs
abrutyn	ˈeɪbruːtɪn
abruzzese	ɑːbruːtˈseɪziː
abruzzo	ɑːˈbruːzoʊ
abs	ˌeɪˌbiːˈes
absalom	ˈæbsələm
absaraka	æbˈsɑːrəkə
abscam	ˈæbskæm
abscess	ˈæbˌses
abscond	æbˈskɑːnd
absconded	æbˈskɑːndɪd
absconding	æbˈskɑːndɪŋ
absconds	æbˈskɑːndz
absecon	ˈæbsəkɔːn
absence	ˈæbsəns
absences	ˈæbsənsɪz
absent	ˈæbsənt
absentee	ˌæbsənˈtiː
absenteeism	ˌæbsənˈtiːɪzəm
absentees	ˌæbsənˈtiːz
absentia	æbˈsenʃə
absher	ˈæbʃər
abshier	ˈæbʃiːər
abshire	ˈæbˌʃaɪr
absinthe	ˈæbsɪnθ
abso	ˈæbsoʊ
absolom	ˈæbsələm
absolut	ˌæbsəˈluːt
absolut's	ˌæbsəˈluːts
absolute	ˈæbsəˌluːt
absolutely	ˌæbsəˈluːtliː
absoluteness	ˈæbsəˌluːtnəs
absolutes	ˈæbsəˌluːts
absolution	ˌæbsəˈluːʃən
absolutism	ˈæbsəˌluːˌtɪzəm
absolutist	æbsəˈluːtɪst
absolve	əbˈzɑːlv
absolved	əbˈzɑːlvd
absolves	əbˈzɑːlvz
absolving	əbˈzɑːlvɪŋ
absorb	əbˈzɔːrb
absorbed	əbˈzɔːrbd
absorbency	əbˈzɔːrbənsiː
absorbent	əbˈzɔːrbənt
absorber	əbˈzɔːrbər
absorbers	əbˈzɔːrbərz
absorbing	əbˈzɔːrbɪŋ
absorbs	əbˈzɔːrbz
absorption	əbˈzɔːrpʃən
abstain	əbˈsteɪn
abstained	əbˈsteɪnd
abstaining	əbˈsteɪnɪŋ
abstention	əbˈstentʃən
abstentions	əbˈstentʃənz
abstinence	ˈæbstənəns
abstinent	ˈæbstənənt
abston	ˈæbstən
abstract	æbˈstrækt
abstracted	ˈæbˌstræktɪd
abstraction	æbˈstrækʃən
abstractions	æbˈstrækʃənz
abstracts	ˈæbstrækts
abstruse	əbˈstruːs
absurd	əbˈsɜːrd
absurdist	əbˈsɜːrdɪst
absurdities	əbˈsɜːrdətiːz
absurdity	əbˈsɜːrdətiː
absurdly	əbˈsɜːrdliː
abt	æbt
abts	æbts
abu	ˈæbuː
abudrahm	əˈbʌdrəm
abuellah	əbˈwelə
abuellah's	əbˈweləz
abuladze	ˌæbjuːˈlædziː
abundance	əˈbʌndəns
abundant	əˈbʌndənt
abundantly	əˈbʌndəntliː
aburto	əˈbʊrˌtoʊ
aburto's	əˈbʊrˌtoʊz
abuse	əˈbjuːs
abused	əˈbjuːzd
abuser	əˈbjuːzər
abusers	əˈbjuːzərz
abuses	əˈbjuːsɪz
abusing	əˈbjuːzɪŋ
abusive	əˈbjuːsɪv
abut	əˈbʌt
abuts	əˈbʌts
abutted	əˈbʌtɪd
abutting	əˈbʌtɪŋ
abuzz	əˈbʌz
abysmal	əˈbɪzməl
abysmally	əˈbɪzməliː
abyss	əˈbɪs
abyssinia	æbˈsɪˌniːə
abyssinian	æbˈsɪˌniːən
abzug	ˈæbˌzʌɡ
ac	ˌeɪˈsiː
aca	ˈækə
acacia	əˈkeɪʃə
academe	ˈækəˌdiːm
academia	ˌækəˈdiːmiːə
academic	ˌækəˈdemɪk
academically	ˌækəˈdemɪkliː
academician	ˌækədəˈmɪʃən
academicians	ˌækədəˈmɪʃənz
academics	ˌækəˈdemɪks
academies	əˈkædəmiːz
academy	əˈkædəmiː
academy's	əˈkædəmiːz
acadia	əˈkeɪdiːə
acaena	əˈsiːnə
acampo	əˈkɑːmpoʊ
acampora	əˈkæmpərə
acampsia	əˈkæmpsjə
acantha	ɑːˈkɑːnðə
acapulco	ˌækəˈpʊlkoʊ
acary	ˈækəriː
acc	ˌaɪˌsiːˈsiː
accardi	ɑːˈkɑːrdiː
accardo	ɑːˈkɑːrdoʊ
accede	ækˈsiːd
acceded	ækˈsiːdɪd
accedes	ækˈsiːdz
acceding	ækˈsiːdɪŋ
accel	əkˈsel
accelerant	ækˈselərənt
accelerants	ækˈselərənts
accelerate	ækˈseləˌreɪt
accelerated	ækˈseləˌreɪtɪd
accelerates	ækˈseləˌreɪts
accelerating	ækˈseləˌreɪtɪŋ
acceleration	ˌækˌseləˈreɪʃən
accelerator	ækˈseləˌreɪtər
accelerators	ækˈseləˌreɪtərz
accelerometer	ækˌseləˈrɑːmətər
accelerometers	ækˌseləˈrɑːmətərz
accent	əkˈsent
accented	ˈæksentɪd
accenting	ˈæksentɪŋ
accents	ˈæksents
accentuate	ækˈsentʃuːeɪt
accentuated	ækˈsentʃuːˌeɪtɪd
accentuates	ækˈsentʃuːˌeɪts
accentuating	ækˈsentʃuːˌeɪtɪŋ
accenture	ækˈsentʃər
accept	ækˈsept
acceptability	əkˌseptəˈbɪlətiː
acceptable	ækˈseptəbəl
acceptably	ækˈseptəbliː
acceptance	ækˈseptəns
acceptances	ækˈseptənsɪz
accepted	ækˈseptɪd
accepting	ækˈseptɪŋ
accepts	ækˈsepts
access	ˈækˌses
accessed	ˈækˌsest
accessibility	ˌæksesəˈbɪlɪtiː
accessible	ækˈsesəbəl
accessing	ˈækˌsesɪŋ
accession	əkˈseʃən
accessories	ækˈsesəriːz
accessorize	ækˈsesəˌraɪz
accessorized	ækˈsesəˌraɪzd
accessory	ækˈsesəriː
accetta	ɑːˈtʃetə
accident	ˈæksədənt
accident's	ˈæksədənts
accidental	ˌæksəˈdentəl
accidentally	ˌæksəˈdentəliː
accidently	ˈæksədəntliː
accidents	ˈæksədənts
accion	ˈætʃiːən
accival	ˈæsɪˌvɑːl
acclaim	əˈkleɪm
acclaim's	əˈkleɪmz
acclaimed	əˈkleɪmd
acclaiming	əˈkleɪmɪŋ
acclaims	əˈkleɪmz
acclamation	ˌækləˈmeɪʃən
acclimate	ˈækləˌmeɪt
acclimated	ˈækləˌmeɪtɪd
acclimation	ˌækləˈmeɪʃən
acco	ˈækoʊ
accokeek	ˈækoʊkiːk
accola	ɑːˈkoʊlə
accolade	ˈækəˌleɪd
accolades	ˈækəˌleɪdz
accomando	ɑːkoʊˈmɑːndoʊ
accommodate	əˈkɑːməˌdeɪt
accommodated	əˈkɑːməˌdeɪtɪd
accommodates	əˈkɑːməˌdeɪts
accommodating	əˈkɑːməˌdeɪtɪŋ
accommodation	əˌkɑːməˈdeɪʃən
accommodations	əˌkɑːməˈdeɪʃənz
accommodative	əˈkɑːməˌdeɪtɪv
accompanied	əˈkʌmpəniːd
accompanies	əˈkʌmpəniːz
accompaniment	əˈkʌmpnɪmənt
accompaniments	əˈkʌmpnɪmənts
accompanist	əˈkʌmpənəst
accompany	əˈkʌmpəniː
accompanying	əˈkʌmpəniːɪŋ
accompli	ˌɑːˈkɑːmpliː
accomplice	əˈkɑːmpləs
accomplices	əˈkɑːmpləsəz
accomplish	əˈkɑːmplɪʃ
accomplished	əˈkɑːmplɪʃt
accomplishes	əˈkɑːmplɪʃɪz
accomplishing	əˈkɑːmplɪʃɪŋ
accomplishment	əˈkɑːmplɪʃmənt
accomplishments	əˈkɑːmplɪʃmənts
accor	ˈæˌkɔːr
accor's	ˈækərz
accord	əˈkɔːrd
accord's	əˈkɔːrdz
accordance	əˈkɔːrdəns
accorded	əˈkɔːrdɪd
according	əˈkɔːrdɪŋ
accordingly	əˈkɔːrdɪŋliː
accordion	əˈkɔːrdiːən
accordions	əˈkɔːrdiːənz
accords	əˈkɔːrdz
accost	əˈkɔːst
accosted	əˈkɑːstɪd
accosting	əˈkɑːstɪŋ
account	əˈkaʊnt
account's	əˈkaʊnts
accountability	əˈkaʊntəˌbɪlɪtiː
accountable	əˈkaʊntəbəl
accountancy	əˈkaʊntənsiː
accountant	əˈkaʊntənt
accountant's	əˈkaʊntənts
accountants	əˈkaʊntənts
accounted	əˈkaʊntɪd
accountemp	əˈkaʊnˌtemp
accountemps	əˈkaʊnˌtemps
accounting	əˈkaʊntɪŋ
accounts	əˈkaʊnts
accouterment	əˈkuːtərmənt
accouterments	əˈkuːtərmənts
accoutrement	əˈkuːtərmənt
accoutrements	əˈkuːtərmənts
accra	ˈɑːˌkrɑː
accredit	əˌkredət
accreditation	əˌkredəˈteɪʃən
accreditations	əˌkredəˈteɪʃənz
accredited	əˈkredɪtɪd
accrediting	əˈkredətɪŋ
accreted	əˈkriːtɪd
accretion	əˈkriːʃən
accrual	əˈkruːəl
accruals	əˈkruːəlz
accrue	əˈkruː
accrued	əˈkruːd
accrues	əˈkruːz
accruing	əˈkruːɪŋ
accu	ˈækjuː
accuhealth	ˈækjuːˌhelθ
accumulate	əˈkjuːmjəˌleɪt
accumulated	əˈkjuːmjəˌleɪtɪd
accumulates	əˈkjuːmjəˌleɪts
accumulating	əˈkjuːmjəˌleɪtɪŋ
accumulation	əˌkjuːmjəˈleɪʃən
accumulations	əˌkjuːmjəˈleɪʃənz
accumulative	əˈkjuːmjəˌleɪtɪv
accumulatively	əˈkjuːmjəˌleɪtɪvliː
accumulator	əˈkjuːmjəˌleɪtər
accumulators	əˈkjuːmjəˌleɪtərz
accuracies	ˈækjərəsiːz
accuracy	ˈækjərəsiː
accurate	ˈækjərət
accurately	ˈækjərətliː
accuray	ˈækjəˌreɪ
accuray's	ˈækjəˌreɪz
accuride	ˈækjəˌraɪd
accursed	ˌæˈkɜːrst
accurso	ɑːˈkʊrsoʊ
accusation	ˌækjəˈzeɪʃən
accusations	ˌækjəˈzeɪʃənz
accusative	əˈkjuːzətɪv
accusatory	əˈkjuːzəˌtɔːriː
accuse	əˈkjuːz
accused	əˈkjuːzd
accuser	əˈkjuːzər
accusers	əˈkjuːzərz
accuses	əˈkjuːzɪz
accusing	əˈkjuːzɪŋ
accusingly	əˈkjuːzɪŋliː
accustom	əˈkʌstəm
accustomed	əˈkʌstəmd
accutane	ˈækjuːˌteɪn
ace	eɪs
acecomm	ˈeɪskɑːm
aced	eɪst
acer	ˈeɪsər
acerbic	əˈserbɪk
acero	əˈseroʊ
acerra	əˈserə
aces	ˈeɪsɪz
acetaminophen	əˌsiːtəˈmɪnəfən
acetate	ˈæsəˌteɪt
acetic	əˈsetɪk
aceto	ɑːˈsetoʊ
acetochlor	ɑːˈsetoʊˌklɔːr
acetone	ˈæsəˌtoʊn
acetosyringone	əˌsetoʊˈsɪrɪŋɡɔːn
acetylcholine	əˌsetəlˈkoʊliːn
acetylene	əˈsetəˌliːn
acevedo	æsəˈveɪdoʊ
aceves	ɑːˈseɪves
acey	ˈeɪsiː
ach	ˌeɪˌsiːˈeɪtʃ
achaean	əˈtʃiːən
achatz	ˈækəts
ache	eɪk
achebe	ɑːˈtʃeɪbiː
ached	eɪkt
achee	əˈtʃiː
achenbach	ˈækɪnbɑːk
achenbaum	ˈækənˌbaʊm
achene	əˈkiːn
achenes	əˈkiːnz
aches	eɪks
acheson	ˈætʃəsən
acheson's	ˈætʃəsənz
achesons	ˈætʃəsənz
achey	ˈætʃiː
achieva	əˈtʃiːvə
achievable	əˈtʃiːvəbəl
achieve	əˈtʃiːv
achieved	əˈtʃiːvd
achievement	əˈtʃiːvmənt
achievements	əˈtʃiːvmənts
achiever	əˈtʃiːvər
achievers	əˈtʃiːvərz
achieves	əˈtʃiːvz
achieving	əˈtʃiːvɪŋ
achill	ˈækɪl
achill's	ˈækɪlz
achille	əˈkɪliː
achilles	əˈkɪliːz
aching	ˈeɪkɪŋ
achingly	ˈeɪkɪŋliː
achmed	ˈɑːhmed
achoa	əˈtʃoʊə
achoa's	əˈtʃoʊəz
achoo	ˌɑːˈtʃuː
achor	ˈeɪkər
achord	ˈækɔːrd
achorn	ˈækərn
achtenberg	ˈæktenbərɡ
achterberg	ˈæktərbərɡ
achy	ˈeɪkiː
acid	ˈæsəd
acidic	əˈsɪdɪk
acidification	əˌsɪdəfəˈkeɪʃən
acidified	əˈsɪdəˌfaɪd
acidifies	əˈsɪdəˌfaɪz
acidify	əˈsɪdəˌfaɪ
acidity	əˈsɪdətiː
acidly	ˈæsədliː
acidosis	ˌæsəˈdoʊsəs
acids	ˈæsədz
aciduria	ˌæsəˈdʊriːə
acierno	ɑːˈsɪrnoʊ
ack	æk
acker	ˈækər
acker's	ˈækərz
ackerley	ˈækərliː
ackerly	ˈækərliː
ackerman	ˈækərmən
ackermann	ˈækərmən
ackermanville	ˈækərmənvɪl
ackerson	ˈækərsən
ackert	ˈækərt
ackhouse	ˈækˌhaʊs
ackland	ˈæklənd
ackles	ˈækəlz
ackley	ˈækliː
acklin	ˈæklɪn
ackman	ˈækmən
acknowledge	ækˈnɑːlɪdʒ
acknowledgeable	ækˈnɑːlɪdʒəbəl
acknowledged	ækˈnɑːlɪdʒd
acknowledgement	ækˈnɑːlɪdʒmənt
acknowledgements	ækˈnɑːlɪdʒmənts
acknowledges	ækˈnɑːlɪdʒɪz
acknowledging	ækˈnɑːlɪdʒɪŋ
acknowledgment	ækˈnɑːlɪdʒmənt
acknowledgments	ækˈnɑːlɪdʒmənts
ackroyd	ˈæˌkrɔɪd
ackroyd's	ˈæˌkrɔɪdz
acm	ˌeɪˌsiːˈem
acmat	ˈækmæt
acmat's	ˈækmæts
acme	ˈækmiː
acme's	ˈækmiːz
acne	ˈækniː
acocella	ɑːkoʊˈtʃelə
acoff	ˈækɔːf
acog	əˈkɔːɡ
acolyte	ˈækəˌlaɪt
acolytes	ˈækəˌlaɪts
acomb	ˈeɪkəm
acord	əˈkɔːrd
acordia	əˈkɔːrdiːə
acorn	ˈeɪkɔːrn
acorn's	ˈeɪkɔːrnz
acorns	ˈeɪkɔːrnz
acosta	əˈkɔːstə
acott	ˈeɪkɔːt
acoustic	əˈkuːstɪk
acoustical	əˈkuːstɪkəl
acoustically	əˈkuːstɪkliː
acoustics	əˈkuːstɪks
acquaint	əˈkweɪnt
acquaintance	əˈkweɪntəns
acquaintances	əˈkweɪntənsɪz
acquaintanceship	əˈkweɪntənsʃɪp
acquainted	əˈkweɪntɪd
acquaviva	ɑːkwɑːˈviːvə
acquiesce	ˌækwiːˈes
acquiesced	ˌækwiːˈest
acquiescence	ˌækwiːˈesəns
acquiescent	ˌækwiːˈesənt
acquiescing	ˌækwiːˈesɪŋ
acquire	əˈkwaɪər
acquired	əˈkwaɪərd
acquirer	əˈkwaɪərər
acquirer's	əˈkwaɪərərz
acquirers	əˈkwaɪərərz
acquires	əˈkwaɪərz
acquiring	əˈkwaɪrɪŋ
acquisition	ˌækwəˈzɪʃən
acquisition's	ˌækwəˈzɪʃənz
acquisitions	ˌækwəˈzɪʃənz
acquisitive	əˈkwɪzətɪv
acquit	əˈkwɪt
acquitaine	ˈækwɪˌteɪn
acquits	əˈkwɪts
acquittal	əˈkwɪtəl
acquittals	əˈkwɪtəlz
acquitted	əˈkwɪtɪd
acquitting	əˈkwɪtɪŋ
acre	ˈeɪkər
acreage	ˈeɪkərɪdʒ
acree	əˈkriː
acres	ˈeɪkərz
acrey	ˈækriː
acri	ˈɑːkriː
acrid	ˈækrɪd
acrimonious	ˌækrəˈmoʊniːəs
acrimony	ˈækrɪˌmoʊniː
acro	ˈækroʊ
acrobat	ˈækrəˌbæt
acrobatic	ˌækrəˈbætɪk
acrobatics	ˌækrəˈbætɪks
acrobats	ˈækrəˌbæts
acrolein	ˈækroʊˌliːn
acronym	ˈækrənɪm
acronyms	ˈækrənɪmz
acropolis	əˈkrɑːpələs
across	əˈkrɔːs
acrylic	əˈkrɪlɪk
acrylics	əˈkrɪlɪks
act	ækt
act's	ækts
acta	ˈæktɑː
actava	ˌækˈtɑːvə
actava's	ˌækˈtɑːvəz
actavas	ˌækˈtɑːvəz
acted	ˈæktɪd
actel	ˈæktel
actigall	ˈæktɪɡɔːl
actin	ˈæktən
acting	ˈæktɪŋ
actinide	ˈæktɪˌnaɪd
actinidia	ˌæktɪˈnɪdiːə
actinomycosis	ˌækˌtɪnoʊˌmaɪˈkoʊsɪs
action	ˈækʃən
action's	ˈækʃənz
actionable	ˈækʃənəbəl
actions	ˈækʃənz
activase	ˈæktɪˌveɪz
activate	ˈæktəˌveɪt
activated	ˈæktəˌveɪtɪd
activates	ˈæktəˌveɪts
activating	ˈæktəˌveɪtɪŋ
activation	ˌæktəˈveɪʃən
activator	ˈæktəˌveɪtər
active	ˈæktɪv
active's	ˈæktɪvz
actively	ˈæktɪvliː
actives	ˈæktɪvz
activision	ˈæktɪˌvɪʒən
activism	ˈæktɪˌvɪzəm
activist	ˈæktəvəst
activists	ˈæktəvəsts
activities	ækˈtɪvətiːz
activity	ækˈtɪvətiː
actmedia	æktˈmiːdiːə
actodine	ˈæktoʊˌdaɪn
acton	ˈæktən
actor	ˈæktər
actor's	ˈæktərz
actors	ˈæktərz
actress	ˈæktrəs
actress's	ˈæktrəsɪz
actresses	ˈæktrəsɪz
acts	ækts
actual	ˈæktʃəwəl
actuality	ˌæktʃuːˈæləˌtiː
actualize	ˈækˌtʃuːəˌlaɪz
actually	ˈækˌtʃuːəliː
actuarial	ˌækˌtʃuːˈeriːəl
actuaries	ˌækˌtʃuːˈeˌriːz
actuary	ˌæktʃuːˈeˌriː
actuate	ˌækˌtʃuːˈeɪt
actuator	ˈæktjuːˌeɪtər
actuators	ˈæktjuːˌeɪtərz
actus	ˈæktəs
acuff	əˈkʌf
acuity	əˈkjuːətiː
acumen	əˈkjuːmən
acuna	ɑːˈkuːnə
acupuncture	ˈækjuːˌpʌŋktʃər
acura	ˈækjərə
acura's	ˈækjərəz
acuras	ˈækjərəz
acuson	ˌæˈkjuːsən
acustar	ˈækjuːˌstɑːr
acusyst	ˈækjuːsɪst
